ID,Sample,Group,PlotID,SampleType,SampleType1,TimePoint,Year,Position,Soil moisture,Total carbon,Organic carbon,Total nitrogen,Ammonium,Nitrate,Soil respiration,Pathogen control,Aboveground productivity,Aerobic respiration,C degradation,C fixation,Fermentation,Methane metabolism,Assimilatory nitrate reduction,Denitrification,Dissimilatory nitrate reduction,Nitrification,Organic degradation and synthesis,Organic phosphoester hydrolysis,Oxidative phosphorylation,Pentose phosphate pathway,Phosphonate and phosphinate metabolism,Phosphotransferase system,Purine metabolism,Pyrimidine metabolism,Pyruvate metabolism,Transporters,Two component system,evenness,Multi_mean,Multi_thres,thr_0.1,thr_0.15,thr_0.2,thr_0.25,thr_0.3,thr_0.35,thr_0.4,thr_0.45,thr_0.5,thr_0.55,thr_0.6,thr_0.65,thr_0.7,thr_0.75,thr_0.8,thr_0.85,thr_0.9
X1,C11L12021A1,C_11_L1_2021,11,1,Degradation,T0,2021,E2,0.713742815,0.67695962,0.046191253,0.644444444,0.436334193,0.451321858,0.117532313,0.486820696,0,0.179480143,0.566333029,0.479514334,0.803625652,0.56707262,0.462380577,0.574627467,0.262288966,0.206515954,0.27292147,0.262549711,0.142769542,0.204606611,0.659137673,0.384436658,0.266664297,0.274971989,0.20060995,0.521148164,0.307695493,0.9597787,0.385265431,10.88235294,27,25,24,21,16,15,14,13,9,8,5,4,2,1,1,0,0
X2,C11L12022A1,C_11_L1_2022,11,1,Degradation,T1,2022,E2,0.442254147,0.743467933,0.118095387,0.822222222,0.232338467,0.15373117,0.074141623,0.263416815,0,0.434708731,0.849528748,0.490384153,0.710904227,0.359946094,0.347708334,0.188666355,0.328851809,0.118080979,0.277672511,0.251410661,0.21488465,0.240662105,0.872163943,0.677009284,0.302580755,0.344590857,0.207817489,0.672808296,0.482958973,0.9491573,0.387000232,10.70588235,27,25,23,19,16,12,11,9,7,7,7,7,5,3,3,1,0
X3,C11L12023A1,C_11_L1_2023,11,1,Degradation,T2,2023,E2,0.37816627,0.372921615,0.488495324,0.288888889,0.059238471,0.697399541,0.029989692,0.065136338,0,0.623130126,0.162945405,0.746787716,0.698252564,0.79659828,0.736954456,0.717297298,0.071355742,0.522432712,0.309360449,0.501094257,0.177050929,0.383345115,0.045596405,0.005959867,0.272441239,0.242805377,0.220150293,0.393130355,0.573416933,0.9248961,0.364839368,10.05882353,22,22,20,18,16,15,11,11,10,8,7,6,4,1,0,0,0
X4,C11L12024A1,C_11_L1_2024,11,1,Degradation,T3,2024,E2,0.633541959,0.206650831,0.074000156,0.177777778,0.754210621,0.577840126,0.15174894,0.124425044,0,0.583974616,0.257518315,0.751061436,0.725067399,0.676826984,0.775451039,0.63913608,0.034357304,0.490240516,0.336420859,0.41470941,0.201514537,0.333569397,0.133964935,0.137449475,0.237958125,0.177765822,0.248196555,0.371725099,0.613897436,0.9405411,0.373827614,10.35294118,26,23,20,16,15,13,12,11,10,10,8,5,4,3,0,0,0
X5,C12L12021A1,C_12_L1_2021,12,0,Undegradation,T0,2021,E1,0.824850711,0.648456057,0.382236572,0.733333333,0.87054236,0.342609003,1,0.675945866,0.384451728,0.446521526,0.706407677,0.148106813,0.248653686,0.161360978,0.165996112,0.735814836,0.715009713,0.247504195,0.569052296,0.326234859,0.57611382,0.270934153,0.978092131,0.556594285,0.783186458,0.820085592,0.616926758,0.490586481,0.594006158,0.9685175,0.552400488,16,29,28,26,24,23,21,19,18,17,17,13,11,10,6,5,3,2
X6,C12L12022A1,C_12_L1_2022,12,0,Undegradation,T1,2022,E1,0.217888586,0.733966746,0.303295355,0.822222222,0.094341821,0.672802972,0.466180319,0.498618086,0.537461906,0.333396086,0.797528617,0.000895084,0.008384976,0.007134668,0,0.114916816,0.686249437,0,0.631607062,0.338120519,0.569762611,0.459540699,0.715772518,0.522885059,0.685045881,0.749581546,0.611208377,0.181285108,0.263058359,0.9335342,0.414591429,11.94117647,23,22,21,20,19,16,16,16,13,11,10,8,5,2,1,0,0
X7,C12L12023A1,C_12_L1_2023,12,0,Undegradation,T2,2023,E1,0.270408429,0.914489311,1,0.911111111,0.125248133,0.339943027,0.51816668,0.48025513,0.31941809,0.512436745,0.535508878,0.051516861,0.186055927,0.297797233,0.247148614,0.700206982,0.723919736,0.581566332,0.70193886,0.684946862,0.62040603,0.542455979,0.188395223,0.119981471,0.677295602,0.637728544,0.624909463,0,0.229118368,0.9554105,0.473874952,13.58823529,27,25,23,21,19,17,17,17,16,12,11,8,6,3,3,3,3
X8,C12L12024A1,C_12_L1_2024,12,0,Undegradation,T3,2024,E1,0.575873539,0.446555819,0.373847724,0.422222222,0.450647538,0.827759038,0.531249563,0.072665282,1,0.800868885,0.791385999,0.067419377,0.115019422,0.154425603,0.151155394,0.475073194,0.707898789,0.326547748,0.684486889,0.885072637,0.585913777,0.46524536,0.698630345,0.381486484,0.650765003,0.690199428,0.641090411,0.252996279,0.338048174,0.9580423,0.502225859,14.52941176,27,26,24,24,23,21,19,17,14,13,11,10,6,5,4,2,1
X9,C17L12021A1,C_17_L1_2021,17,0,Undegradation,T0,2021,E5,0.871508635,0.562945368,0.398216044,0.466666667,0.561785806,0.054654088,0.826183491,0.271762834,0.486401012,0.494909588,0.711887253,0.226291911,0.241784209,0.202732541,0.22405948,0.496518154,0.803206841,0.203670765,0.545542567,0.352559564,0.523866359,0.207376981,0.997319653,0.54571858,0.625002898,0.692572082,0.533399713,0.495598144,0.582242248,0.9663765,0.489875292,14.05882353,28,28,28,22,21,21,19,19,14,10,7,6,5,4,4,2,1
X10,C17L12022A1,C_17_L1_2022,17,0,Undegradation,T1,2022,E5,0.319574046,0.581947743,0.514952463,0.555555556,0.11265231,0.430727314,0.646499088,0.708410278,0.486976022,0.223944903,0.659601639,0.197801175,0.209887602,0.056693711,0.228932085,0,0.498305035,0.024131945,0.509819781,0.228943006,0.436768626,0.228650676,0.644491477,0.472799058,0.488646052,0.552176344,0.478013459,0.164373065,0.060019843,0.951013,0.369699804,10.23529412,25,24,22,17,17,16,16,14,9,7,4,2,1,0,0,0,0
X11,C17L12023A1,C_17_L1_2023,17,0,Undegradation,T2,2023,E5,0.295012449,1,0.867714308,0.911111111,0.395386197,0.286799543,0.636666402,0.497130618,0.444137772,0.350993949,0.362362094,0.125124789,0.095283438,0.319445069,0.308267343,0.532275456,0.737283521,0.430397866,0.545223504,0.737199556,0.557039882,0.532406795,0.245904446,0.015823537,0.508877333,0.570841355,0.589208024,0.067512091,0.078590597,0.9481285,0.44979376,12.64705882,25,24,24,23,21,19,16,14,13,9,6,5,5,3,3,3,2
X12,C17L12024A1,C_17_L1_2024,17,0,Undegradation,T3,2024,E5,0.699898985,0.406175772,0.285657263,0.333333333,0.576339609,0.512815239,0.642211515,0.044414742,0.724627681,1,1,0.273334723,0.263208778,0.131570619,0.212976751,0.162053607,0.715391119,0.277105809,0.694571477,0.754297128,0.589170841,0.467391697,0.778486866,0.376092829,0.614216831,0.645271643,0.539667917,0.399498393,0.528182927,0.9626578,0.50510221,14.47058824,28,27,26,25,21,20,18,17,16,13,11,8,6,4,2,2,2
X13,C18L12021A1,C_18_L1_2021,18,1,Degradation,T0,2021,E6,0.671613199,0.325415677,0.481102572,0.288888889,0.380354368,0,0.253826025,0.151971225,0,0.277418785,0.521918561,0.544194503,0.88493148,0.561532166,0.438403061,0.468165479,0.358067037,0.130934001,0.143217645,0.31117225,0.127085179,0.0307671,0.829728694,0.565444432,0.134133643,0.228667587,0.117238955,0.657610693,0.54558317,0.9472438,0.359634013,9.941176471,26,21,20,19,16,14,12,11,9,6,4,4,2,2,2,1,0
X14,C18L12022A1,C_18_L1_2022,18,1,Degradation,T1,2022,E6,0.376401567,0.486935867,0.126914433,0.555555556,0.04487168,0.205426339,0.04416779,0.269900793,0,0.204497796,0.456929595,0.672387711,0.790031057,0.373154736,0.496979691,0.181655032,0.118766231,0.102767933,0,0.194964077,0,0,0.59257454,0.474401746,0,0.120020526,0.023057937,0.541844331,0.508319688,0.9258981,0.274569885,7.411764706,21,17,15,13,12,12,10,10,6,4,2,2,1,1,0,0,0
