ID,Total nodes,Total links,Average degree (avgK),Average weighted degree (avgKw),Average clustering coefficient (avgCC),Average path distance (GD),Density (D),Transitivity (Trans),Connectedness (Con),alpha,r,P,Module.number.Greedy.optimization,Modularity,Sample,Treat,SampleType,TimePoint,Year,Position,cycfac,cyccom,facmcom,commfac,tranfac,trancom,trancomfac,p/n2,n/p2,copy_number
1,2018,587,0.581764123,0.578527551,0.503009425,3.007732624,0.00028843,0.324259408,0.00119647,2.352711321,0.943022352,1.51E-07,1549,0.972119156,C11L12021A1,11,Degradation,T0,2021,E2,0,0,0,0,64,195,34,0.247104247,0.752895753,1.444757
2,2042,515,0.504407444,0.501407118,0.425950432,3.853734166,0.000247137,0.238903394,0.001417081,2.642124456,0.90037083,8.40E-06,1595,0.974491145,C11L12022A1,11,Degradation,T1,2022,E2,0,0,0,0,51,63,19,0.447368421,0.552631579,1.483383
3,1914,596,0.622779519,0.619151742,0.556281171,3.697835694,0.000325551,0.215767635,0.004050273,2.005985744,0.87312574,1.18E-07,1482,0.886647252,C11L12023A1,11,Degradation,T2,2023,E2,0,0,0,0,77,12,29,0.865168539,0.134831461,1.411716
4,1996,608,0.609218437,0.60593015,0.496809194,4.755685414,0.000305373,0.342158859,0.003312389,2.218421172,0.974536927,2.66E-09,1530,0.956616283,C11L12024A1,11,Degradation,T3,2024,E2,0,0,0,0,77,60,64,0.562043796,0.437956204,1.406107
13,2067,666,0.644412192,0.640726495,0.476966967,3.937632618,0.000311913,0.294990724,0.002165594,2.289479688,0.964322372,2.61E-09,1554,0.959530771,C18L12021A1,18,Degradation,T0,2021,E6,0,0,0,0,66,199,42,0.249056604,0.750943396,1.426351
14,2021,526,0.520534389,0.517412962,0.414586566,3.799896792,0.00025769,0.220640569,0.001512338,2.569750951,0.902650761,2.24E-06,1565,0.97363435,C18L12022A1,18,Degradation,T1,2022,E6,0,0,0,0,45,67,21,0.401785714,0.598214286,1.433581
15,1922,608,0.632674298,0.628951645,0.536238097,3.715184626,0.000329346,0.215934812,0.004159622,2.011866253,0.840769586,2.26E-07,1480,0.888115743,C18L12023A1,18,Degradation,T2,2023,E6,0,0,0,0,78,12,29,0.866666667,0.133333333,1.404103
16,1893,468,0.494453249,0.491708844,0.535889396,1.806609933,0.000261339,0.434343434,0.000577961,2.51503199,0.959164262,2.84E-08,1528,0.976260672,C18L12024A1,18,Degradation,T3,2024,E6,0,0,0,0,60,54,35,0.526315789,0.473684211,1.372718
17,2022,602,0.595450049,0.592023763,0.430836996,4.082263661,0.000294631,0.266903915,0.002072698,2.410779445,0.978275812,8.57E-09,1531,0.962058093,C22L12021A1,22,Degradation,T0,2021,E3,0,0,0,0,62,99,22,0.385093168,0.614906832,1.396743
18,2022,512,0.506429278,0.50351856,0.478994925,3.81108524,0.000250584,0.289439374,0.001286198,2.604382905,0.884787031,1.63E-05,1585,0.977018294,C22L12022A1,22,Degradation,T1,2022,E3,0,0,0,0,52,46,17,0.530612245,0.469387755,1.394943
19,1847,411,0.445046021,0.442461471,0.58493837,2.286280222,0.000241087,0.414686825,0.000576027,2.926146195,0.951391868,7.51E-06,1494,0.985613921,C22L12023A1,22,Degradation,T2,2023,E3,0,0,0,0,50,15,11,0.769230769,0.230769231,1.370362
20,1997,641,0.641962944,0.63846777,0.504643575,4.691029133,0.000321625,0.326934985,0.003384837,2.325088338,0.919803285,6.22E-08,1509,0.958977924,C22L12024A1,22,Degradation,T3,2024,E3,0,0,0,0,94,70,66,0.573170732,0.426829268,1.41118
25,2039,654,0.641490927,0.637765856,0.459868537,3.945561709,0.000314765,0.287593985,0.002226457,2.280585025,0.96599157,2.00E-09,1531,0.95837274,C28L12021A1,28,Degradation,T0,2021,E4,0,0,0,0,67,198,42,0.252830189,0.747169811,1.433507
26,2021,499,0.493814943,0.490935402,0.417790038,3.874673855,0.000244463,0.258023107,0.001439342,2.535563868,0.858262515,4.18E-05,1590,0.972458381,C28L12022A1,28,Degradation,T1,2022,E4,0,0,0,0,47,66,18,0.415929204,0.584070796,1.419083
27,1918,602,0.627737226,0.624049115,0.541325112,3.716557666,0.000327458,0.211652253,0.004173731,2.00790651,0.843640711,1.97E-07,1480,0.88630635,C28L12023A1,28,Degradation,T2,2023,E4,0,0,0,0,77,12,29,0.865168539,0.134831461,1.40347
28,2013,619,0.615002484,0.611655071,0.521409552,4.714927994,0.000305667,0.319233311,0.003304564,2.306703905,0.909042473,1.33E-07,1531,0.957674642,C28L12024A1,28,Degradation,T3,2024,E4,0,0,0,0,78,65,61,0.545454545,0.454545455,1.452117
37,2053,636,0.619581101,0.61604692,0.485337015,3.81722126,0.00030194,0.321126761,0.001754196,2.293109256,0.949476462,8.28E-08,1555,0.963370836,C36L12021A1,36,Degradation,T0,2021,E1,0,0,0,0,56,148,42,0.274509804,0.725490196,1.400487
38,2027,495,0.488406512,0.48556924,0.479889339,2.810623826,0.000241069,0.315107914,0.000878564,2.686325808,0.928928573,1.81E-06,1604,0.978999926,C36L12022A1,36,Degradation,T1,2022,E1,0,0,0,0,42,66,22,0.388888889,0.611111111,1.456995
