OTU.ID,copy number
Otu1,1.400015556
Otu2,1.480002753
Otu3,1
Otu4,1.400015556
Otu5,1.400015556
Otu6,1
Otu7,1.400015556
Otu8,1
Otu9,1.480002753
Otu10,1.480002753
Otu11,1
Otu12,1.989933279
Otu13,1.149425287
Otu14,1.480002753
Otu15,1.400015556
Otu16,1.400015556
Otu17,2.280010842
Otu18,2
Otu19,1.989933279
Otu21,1.480002753
Otu22,1.479999452
Otu23,1.479999452
Otu24,1
Otu25,1.400015556
Otu26,1
Otu27,1
Otu28,2.680009202
Otu29,1.400015556
Otu30,1.479999452
Otu31,1.479999452
Otu32,1.479999452
Otu33,4.761904762
Otu34,2.280010842
Otu35,1.479999452
Otu37,3.670473083
Otu38,1
Otu39,2.28050171
Otu40,1
Otu41,3.349953256
Otu42,1.479999452
Otu44,1.839989096
Otu46,1
Otu47,1
Otu48,5.258545136
Otu49,1
Otu50,2.260037224
Otu51,2
Otu52,2.801120448
Otu53,1.47996357
Otu54,2.279635258
Otu55,1
Otu56,3.521126761
Otu57,1
Otu58,1.479999452
Otu59,1.989933279
Otu60,2
Otu61,1.479999452
Otu62,1.480002753
Otu63,2.921129503
Otu64,1
Otu65,1
Otu66,2.219999885
Otu67,1.839989096
Otu68,3.349953256
Otu69,2.219999885
Otu70,1.47996357
Otu71,1
Otu73,1.2300123
Otu74,1.47996357
Otu75,2
Otu76,1.479956245
Otu77,2.219999885
Otu78,1
Otu79,1.47996357
Otu80,1.969796454
Otu81,2
Otu82,9.389671362
Otu83,2.28050171
Otu84,1
Otu86,1.179941003
Otu87,2.010050251
Otu88,1.479986546
Otu89,1.480019734
Otu90,3.349953256
Otu91,1.479999452
Otu93,1.480002753
Otu94,3.349953256
Otu95,2.219999885
Otu96,1.480019734
Otu97,1.480002753
Otu98,1
Otu99,5.258545136
Otu100,1.25
Otu101,1.479837218
Otu102,2.219999885
Otu103,2.28050171
Otu104,1
Otu105,1
Otu106,1
Otu107,2.28050171
Otu108,1
Otu109,1.3500135
Otu110,1
Otu111,1.989933279
Otu112,1
Otu113,1
Otu114,1
Otu115,1
Otu116,1.479999452
Otu117,1.480019734
Otu118,2.219999885
Otu119,1.479986546
Otu120,1.809997482
Otu121,2
Otu122,2.219999885
Otu123,1.479999452
Otu124,2
Otu125,1.47996357
Otu126,1.831501832
Otu127,1.480002753
Otu128,1.809997482
Otu129,1.809997482
Otu130,2.219999885
Otu131,1.479999452
Otu132,2
Otu133,1.47996357
Otu134,2.859933036
Otu136,2.83286119
Otu137,1
Otu138,1
Otu139,1
Otu140,3.349953256
Otu142,1.480019734
Otu143,1.480011144
Otu144,1.480002753
Otu145,2.010050251
Otu146,1.479999452
Otu147,1.479986546
Otu148,2.219999885
Otu149,2.219999885
Otu150,1.670046523
Otu151,2.219999885
Otu152,2.219999885
Otu153,2.129925453
Otu154,1.479999452
Otu155,2
Otu156,2.99850075
Otu157,2.280010842
Otu158,2.219999885
Otu159,1
Otu160,2.219999885
Otu161,1.480011144
Otu162,1.831501832
Otu163,1
Otu164,2.280010842
Otu165,1.839989096
Otu166,1.480011144
Otu167,2
Otu168,3.058103976
Otu169,1
Otu170,2.5
Otu171,1.479999452
Otu172,5.847953216
Otu173,1
Otu174,1.479999452
Otu175,5.217391304
Otu176,2.28050171
Otu177,2
Otu178,2
Otu179,2.219999885
Otu180,1.839989096
Otu181,3.670473083
Otu182,1.480019734
Otu183,2.219999885
Otu184,3.058103976
Otu185,6.976744186
Otu186,1
Otu188,1.740644038
Otu189,2
Otu190,2.28050171
Otu191,2
Otu192,1
Otu193,1.479999452
Otu194,1
Otu195,2
Otu196,3.831417625
Otu197,1.12
Otu198,1.3500135
Otu199,1.809997482
Otu201,2.279635258
Otu202,2.43902439
Otu203,1.909988432
Otu204,2.99850075
Otu205,1
Otu206,6.25
Otu207,2
Otu208,1
Otu209,1.839989096
Otu210,3.976836671
Otu211,1.479999452
Otu212,2.219999885
Otu213,1.479999452
