,resT0,resT1,resT2,resT3,bareT0,bareT1,bareT2,bareT3,trancom,resT0,Genus0,resT1,Genus1,resT2,Genus2,resT3,Genus3,bareT0,Genus4,bareT1,Genus5,bareT2,Genus6,bareT3,Genus7,,,,OTUID,Genus,OTUID,Genus,OTUID,Genus,OTUID,Genus
1,Otu3793,Otu136,Otu226,Otu388,Otu591,Otu562,Otu15,Otu544,trancom,Otu3793,Unrecognized,Otu1432,Unrecognized,Otu461,Unrecognized,Otu1437,Unrecognized,Otu1723,Unrecognized,Otu2145,Unrecognized,Otu108,Gaiella,Otu1755,Bauldia,,,,Otu1723,Unrecognized,Otu2145,Unrecognized,Otu108,Gaiella,Otu1755,Bauldia
2,Otu598,Otu4273,Otu221,Otu81,Otu178,Otu182,Otu466,Otu280,trancom,Otu808,Chthoniobacter,Otu5617,Unrecognized,Otu5999,Nocardioides,Otu2390,Unrecognized,Otu4610,Gemmatimonas,Otu6378,Unrecognized,Otu15,Unrecognized,Otu544,Unrecognized,,,,Otu4610,Gemmatimonas,Otu6378,Unrecognized,Otu15,Unrecognized,Otu544,Unrecognized
3,Otu386,Otu118,Otu724,Otu3548,Otu1256,Otu6378,Otu246,Otu90,trancom,Otu966,Unrecognized,Otu750,Unrecognized,Otu825,Unrecognized,Otu607,Unrecognized,Otu4710,Unrecognized,Otu956,Unrecognized,Otu25,Candidatus Nitrososphaera,Otu974,Parviterribacter,,,,Otu4710,Unrecognized,Otu956,Unrecognized,Otu25,Candidatus Nitrososphaera,Otu974,Parviterribacter
4,Otu3119,Otu110,Otu2032,Otu607,Otu285,Otu2550,Otu1736,Otu1175,trancom,Otu3447,Ambiguous_taxa,Otu1325,Unrecognized,Otu2550,Unrecognized,Otu3422,Unrecognized,Otu3422,Unrecognized,Otu6919,Sphingomonas,Otu1,Unrecognized,Otu2330,Acidibacter,,,,Otu3422,Unrecognized,Otu6919,Sphingomonas,Otu1,Unrecognized,Otu2330,Acidibacter
5,Otu1269,Otu2889,Otu461,Otu6358,Otu84,Otu778,Otu1205,Otu2317,trancom,Otu1012,Rhizocola,Otu1594,Unrecognized,Otu3518,Unrecognized,Otu696,Unrecognized,Otu6448,Unrecognized,Otu5086,Unrecognized,Otu246,Unrecognized,Otu280,Unrecognized,,,,Otu6448,Unrecognized,Otu5086,Unrecognized,Otu246,Unrecognized,Otu280,Unrecognized
6,Otu929,Otu1801,Otu2538,Otu867,Otu1723,Otu3132,Otu504,Otu6693,trancom,Otu2304,Unrecognized,Otu1180,Luteolibacter,Otu2087,Unrecognized,Otu1166,Haliangium,Otu606,Unrecognized,Otu1744,Unrecognized,Otu610,Unrecognized,Otu1872,Unrecognized,,,,Otu606,Unrecognized,Otu1744,Unrecognized,Otu610,Unrecognized,Otu1872,Unrecognized
7,Otu2600,Otu350,Otu6984,Otu1718,Otu1056,Otu2477,Otu323,Otu2496,trancom,Otu668,Unrecognized,Otu1924,Unrecognized,Otu2080,Haliangium,Otu3095,Unrecognized,Otu3095,Unrecognized,Otu3151,Segetibacter,Otu1826,Unrecognized,Otu2045,Unrecognized,,,,Otu3095,Unrecognized,Otu3151,Segetibacter,Otu1826,Unrecognized,Otu2045,Unrecognized
8,Otu2540,Otu3391,Otu755,Otu587,Otu1189,,Otu295,Otu3162,trancom,Otu2790,Unrecognized,Otu1566,Unrecognized,Otu3011,Unrecognized,Otu1908,Candidatus Alysiosphaera,Otu5086,Unrecognized,Otu1633,Unrecognized,Otu2273,Unrecognized,Otu90,MND1,,,,Otu5086,Unrecognized,Otu1633,Unrecognized,Otu2273,Unrecognized,Otu90,MND1
9,Otu4578,Otu1935,Otu2574,Otu2273,Otu2293,,Otu557,Otu860,trancom,Otu1692,Unrecognized,Otu1725,Unrecognized,Otu3162,Unrecognized,Otu3502,Unrecognized,Otu1924,Unrecognized,Otu1449,Unrecognized,Otu277,Unrecognized,Otu747,Unrecognized,,,,Otu1924,Unrecognized,Otu1449,Unrecognized,Otu277,Unrecognized,Otu747,Unrecognized
10,Otu1933,Otu5617,,Otu1591,Otu2199,,,,trancom,Otu1026,Aquicella,Otu4273,Candidatus Udaeobacter,Otu1859,Unrecognized,Otu2311,Haliangium,Otu4375,Jatrophihabitans,Otu2656,Unrecognized,Otu3832,Unrecognized,Otu7591,Unrecognized,,,,Otu4375,Jatrophihabitans,Otu2656,Unrecognized,Otu3832,Unrecognized,Otu7591,Unrecognized
